Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1054,21,18/03/2022 21:30,AT&T Center,San Antonio Spurs,New Orleans Pelicans,91 - 124
1055,21,18/03/2022 22:00,Vivint Arena,Utah Jazz,LA Clippers,121 - 92
1056,21,18/03/2022 23:00,Footprint Center,Phoenix Suns,Chicago Bulls,129 - 102
1057,21,18/03/2022 23:00,Golden 1 Center,Sacramento Kings,Boston Celtics,97 - 126
1058,21,19/03/2022 18:00,Target Center,Minnesota Timberwolves,Milwaukee Bucks,138 - 119
1059,21,19/03/2022 20:00,Spectrum Center,Charlotte Hornets,Dallas Mavericks,129 - 108
1060,21,19/03/2022 21:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Detroit Pistons,113 - 109
1061,21,19/03/2022 21:00,Capital One Arena,Washington Wizards,Los Angeles Lakers,127 - 119
1062,21,20/03/2022 16:30,Gainbridge Fieldhouse,Indiana Pacers,Portland Trail Blazers,129 - 98
1063,21,20/03/2022 16:30,Toyota Center,Houston Rockets,Memphis Grizzlies,98 - 122
1064,21,20/03/2022 19:00,State Farm Arena,Atlanta Hawks,New Orleans Pelicans,112 - 117
1065,21,20/03/2022 19:00,Amway Center,Orlando Magic,Oklahoma City Thunder,90 - 85
1066,21,20/03/2022 19:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,124 - 127
1067,21,20/03/2022 20:30,Madison Square Garden,New York Knicks,Utah Jazz,93 - 108
1068,21,20/03/2022 21:00,Ball Arena,Denver Nuggets,Boston Celtics,104 - 124
1069,21,20/03/2022 21:30,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,88 - 93
1070,21,20/03/2022 21:30,Chase Center,Golden State Warriors,San Antonio Spurs,108 - 110
1071,21,21/03/2022 20:00,Spectrum Center,Charlotte Hornets,New Orleans Pelicans,106 - 103
1072,21,21/03/2022 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Los Angeles Lakers,120 - 131
1073,21,21/03/2022 20:00,Little Caesars Arena,Detroit Pistons,Portland Trail Blazers,115 - 119
1074,21,21/03/2022 20:30,Wells Fargo Center,Philadelphia 76ers,Miami Heat,113 - 106
1075,21,21/03/2022 20:30,Barclays Center,Brooklyn Nets,Utah Jazz,114 - 106
1076,21,21/03/2022 21:00,United Center,Chicago Bulls,Toronto Raptors,113 - 99
1077,21,21/03/2022 21:00,Toyota Center,Houston Rockets,Washington Wizards,115 - 97
1078,21,21/03/2022 21:00,Paycom Center,Oklahoma City Thunder,Boston Celtics,123 - 132
1079,21,21/03/2022 21:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,110 - 108
1080,21,22/03/2022 20:00,Amway Center,Orlando Magic,Golden State Warriors,94 - 90
1081,21,22/03/2022 20:30,Madison Square Garden,New York Knicks,Atlanta Hawks,111 - 117
1082,21,22/03/2022 21:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,126 - 98
1083,21,22/03/2022 23:00,Ball Arena,Denver Nuggets,LA Clippers,127 - 115
1084,21,23/03/2022 20:00,Spectrum Center,Charlotte Hornets,New York Knicks,106 - 121
1085,21,23/03/2022 20:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,122 - 101
1086,21,23/03/2022 20:00,Gainbridge Fieldhouse,Indiana Pacers,Sacramento Kings,109 - 110
1087,21,23/03/2022 20:30,TD Garden,Boston Celtics,Utah Jazz,125 - 97
1088,21,23/03/2022 20:30,FTX Arena,Miami Heat,Golden State Warriors,104 - 118
1089,21,23/03/2022 20:30,FedExForum,Memphis Grizzlies,Brooklyn Nets,132 - 120
1090,21,23/03/2022 21:00,Target Center,Minnesota Timberwolves,Phoenix Suns,116 - 125
1091,21,23/03/2022 21:00,Paycom Center,Oklahoma City Thunder,Orlando Magic,118 - 102
1092,21,23/03/2022 21:30,American Airlines Center,Dallas Mavericks,Houston Rockets,110 - 91
1093,21,23/03/2022 23:00,Crypto.com Arena,Los Angeles Lakers,Philadelphia 76ers,121 - 126
